Type of data.;f(vij)obs;prediction_trainig;fref;sIcI;sIcIV;sIIcIV;sIIIcII;sIIIcIII;sIIIcvII;sIVcIV;sVcv;sVIcvI
synthetic;1;training;0.4167;0.558;0.91863;0.3339;0.29913;0.052298077;0.03648;0.736;1.03999;0.22896
synthetic;0;training;0.4167;0.14742;0.15857;0;0.1764;0.282153626;0.82256;0.39913;0;0.48675
synthetic;0;validation;0.4167;0.075;0.88146;0.57915;0.964;0.093116887;0.36414;1.4691;0;0.31284
synthetic;1;training;0.4167;0.00816;0.93729;0.93258;0.51084;0.240961538;0.8484;0.7038;0.13056;0.3294
synthetic;0;training;0.4167;0.22512;0;0.34656;0;0;0;0.55836;0.63;0.192
synthetic;0;training;0.4167;0.0184;0.30772;0.91949;0;0.055594762;0.29784;0.32472;0.36863;0.16724
synthetic;0;validation;0.4167;0.43253;0.76648;0.48384;0;0.102307692;0;0.39026;0.52452;0.22648
synthetic;0;training;0.4167;0.47978;1.03584;1.462;0.964;1.20002426;0.67318;1.06375;0.1925;0.99232
synthetic;0;training;0.4167;0.22518;1.0784;0.52592;0.44352;0.046478711;0.23452;0.6072;0.3224;0.27824
synthetic;1;training;0.4167;0.40067;0.92664;0.52592;0.2688;0.018173077;0.62712;0.5511;0.71148;0.16428
synthetic;1;validation;0.4167;1.10352;1.05185;0.48944;0.32704;0;0;0.5874;0.93653;0.22792
synthetic;0;training;0.4167;0.10126;0.19625;0.52592;0;0.427895009;0.37129;0.58212;0.40415;0.249
synthetic;1;training;0.4167;0.33847;1.647;0;0;0;0;1.88968;0.53795;0.1332
synthetic;1;training;0.4167;0.46112;1.647;1.462;0;0.885010952;0.31482;1.615;0;1.27
synthetic;0;validation;0.4167;0.07488;1.24425;1.462;0.89976;0.776118721;1.533;1.46466;0;0.94471
synthetic;0;training;0.4167;0.01683;0.1998;0.72076;0;0.057116624;0.45552;0.52974;0.58482;0.16912
synthetic;0;training;0.4167;0.01232;0.81982;1.462;0.14464;0.58959795;0.78174;0.72852;0;0.3267
synthetic;1;training;0.4167;0.01976;0.37375;1.26441;0.32193;0.040316862;0.32448;0.44528;1.239;0.21014
synthetic;0;validation;0.4167;0.0156;0.93272;1.29398;0;0.469778665;1.22943;0.92004;0;0.44719
synthetic;0;training;0.4167;0.02057;1.62435;1.462;0;0.952141364;0.40425;1.2354;0;1.26945
synthetic;0;training;0.4167;0.02397;0.65601;1.462;0;0.453918438;0.9044;0.55296;0.87864;0.2232
synthetic;1;training;0.4167;0.95692;1.18663;1.462;0.21584;0.060576923;1.1414;0.67824;0;0.25056
synthetic;0;validation;0.4167;0.01341;0.24335;0.96538;0.21;0.003814103;0.0462;0.33839;0.54384;0.19551
synthetic;0;training;0.4167;0.639;0.157;1.16472;0;0.47625;0;0.24272;0.77376;0.8001
synthetic;0;training;0.4167;0.01112;0.19782;1.08667;0.05265;0.129827632;0.51714;0.19516;0.31209;0.33616
synthetic;0;training;0.4167;0.54769;0.58647;0.58672;0;0.031971154;0.01664;0.5181;0.86064;0.29452
synthetic;0;validation;0.4167;0.00903;1.62538;1.462;0.51425;0.506095679;0.4557;1.615;0;0.76096
synthetic;1;training;0.4167;0.1092;0.95418;0;0.964;0.86;1.00962;2.20246;0.41327;0
synthetic;1;training;0.4167;0.829;1.30563;1.462;0.22139;0;0;0.81848;1.03441;0
synthetic;0;training;0.4167;0.27784;0.28417;1.42443;0;0.276118809;0.04;0.26732;0;0.424
synthetic;1;validation;0.4167;0.01606;0.92129;0;0.09024;0.373786845;0.91637;0.5508;0.4212;0.30282
synthetic;0;training;0.4167;0.00918;0.27084;1.02816;0.964;1.20002426;0.05376;0.80041;0.40788;1.78868
synthetic;0;training;0.4167;0.012;0.82695;0.53404;0.24747;0.049865593;0.56259;0.98547;0.70755;0.24016
synthetic;0;training;0.4167;0.27489;0.8192;1.462;0.153;0.320602263;0.3772;1.53454;0;0.30942
synthetic;1;validation;0.4167;0.829;0.56277;0.76117;0.4256;0.016961538;0.69362;0.50768;1.239;0.2442
synthetic;1;training;0.4167;0.85925;1.647;1.462;0.29766;0;0;1.3026;0;0.39738
synthetic;0;training;0.4167;0.01053;0.27221;1.08;0.3915;0.025487179;0.0292;0.35343;0.2592;0.18
synthetic;0;training;0.4167;0.0105;0;0.89238;0;1.406320721;0.29785;1.615;0.0161;1.27
synthetic;1;validation;0.4167;0.829;1.41182;0.9412;0;0;0;0.94608;0;0.17433
synthetic;0;training;0.1667;0.29583;0.81807;1.462;0;0;0;1.615;0;0.67602
synthetic;0;training;0.1667;0.0114;1.7484;0;0;1.20002426;1.533;1.615;0;0
synthetic;1;training;0.1667;0.47824;1.647;1.33369;0.964;0;0;1.615;0;0
synthetic;0;validation;0.1667;0.33354;1.647;1.41708;0.964;0.827811252;1.533;1.615;0;0.887
synthetic;0;training;0.1667;0.11523;0.58352;1.462;0;0.528383617;1.533;0.87135;0.2176;0.6214
synthetic;0;training;0.1667;0.3294;0.83628;0.33456;0.28067;0.164131463;1.533;0.17548;0.20433;0.26568
synthetic;1;training;0.1667;0.92944;1.647;0.88687;0;0;0;1.615;1.026;0.10934
synthetic;0;validation;0.1667;0.2525;1.647;0.88396;0;0.009078705;0.46706;0.59976;0;0.343
synthetic;1;training;0.1667;0.01353;1.2528;0;0.0816;0;0;1.52256;0;0.40612
synthetic;0;training;0.1667;0.477;0.79407;0.49455;0.21463;0.058701923;0.056;0.5888;0.73206;0.2736
synthetic;0;training;0.1667;0.10556;0.157;0;0.0954;0.282153626;0.79152;0.43737;0;0.3186
synthetic;0;validation;0.1667;0.051;0.91134;0.51597;1.05544;0.110620062;0.46648;1.3098;0;0.19592
synthetic;1;training;0.1667;0.00786;0.72063;0.71592;0.40986;0.224807692;0.90496;0.7242;0.17152;0.2781
synthetic;0;training;0.1667;0.21306;0;0.55328;0;0;0;0.5643;0.3815;0.2325
synthetic;0;training;0.1667;0.0193;0.31243;0.99665;0;0.038488682;0.22119;0.27716;0.36099;0.16872
synthetic;0;validation;0.1667;0.44807;0.73968;0.55296;0;0.062461538;0;0.47424;0.42129;0.19304
synthetic;0;training;0.1667;0.44436;0.91104;1.38866;0.964;0.92604888;0.39905;0.851;0.27258;1.69226
synthetic;0;training;0.1667;0.324;1.08514;0.57456;0.31584;0.046720788;0.19019;0.5742;0.3354;0.185
synthetic;0;training;0.1667;0.47458;0.88452;0.47728;0.38976;0.021942308;0.92259;0.6171;0.85184;0.19536
synthetic;0;validation;0.1667;0.829;0.7739;0.31008;0.25536;0;0;0.4092;1.09393;0.2664
synthetic;0;training;0.1667;0.11163;0.23393;0.40736;0;0.396775372;0.58643;0.43065;0.4248;0.207
synthetic;0;training;0.1667;0.18643;1.647;0;0;0;0;1.59185;0.5194;0.1386
synthetic;0;training;0.1667;0.57728;1.647;1.462;0;0.62570838;0.30888;1.06164;0;1.27
synthetic;0;validation;0.1667;0.06084;1.24425;1.462;0.70905;0.863894053;1.62178;1.2051;0;0.64285
synthetic;0;training;0.1667;0.0209;0.15651;0.6331;0;0.084874235;0.5772;0.49704;0.64258;0.25066
synthetic;0;training;0.1667;0.02189;0.89768;1.791;0.22374;0.349610845;0.78174;0.84527;0;0.5319
synthetic;0;training;0.1667;0.01885;0.42458;0.70914;0.40953;0.038460165;0.35256;0.69552;1.239;0.30494
synthetic;0;validation;0.1667;0.02136;0.96416;0.94714;0;0.579098229;1.89585;0.96186;0;0.39044
synthetic;0;training;0.1667;0.01331;1.63268;1.462;0;0.966459279;0.33726;1.615;0;0.67704
synthetic;0;training;0.1667;0.02363;0.36963;1.462;0;0.25698028;0.9792;0.756;0.70605;0.15696
synthetic;0;training;0.1667;0.74823;1.647;1.462;0.1596;0.076730769;1.43992;0.60759;0;0.2664
synthetic;0;validation;0.1667;0.00945;0.24021;1.14868;0.20832;0.005801282;0.0423;0.46683;0.57474;0.26166
synthetic;0;training;0.1667;0.92016;0.23236;1.462;0;0.602435897;0;0.26732;0.76632;1.16205
synthetic;0;training;0.1667;0.0096;0.2512;1.27314;0.07245;0.181577108;0.3887;0.246;0.46659;0.37054
synthetic;0;training;0.1667;0.5745;0.85635;0.43776;0;0.025394231;0.01313;0.3927;0.6846;0.24568
synthetic;0;validation;0.1667;0.01393;1.49966;1.462;0.3795;0.686348934;0.4991;1.615;0;0.58928
synthetic;1;training;0.1667;0.10864;1.36431;0;0.964;0.715;1.26558;1.615;0.50575;0
synthetic;1;training;0.1667;0.829;1.56996;1.462;0.26533;0;0;0.81848;1.239;0
synthetic;0;training;0.1667;0.19872;0.16328;1.462;0;0.257148815;0.032;0.23288;0;0.48
synthetic;1;validation;0.1667;0.01408;0.74823;0;0.07104;0.428840722;1.16441;0.378;0.32994;0.22866
synthetic;0;training;0.1667;0.00834;0.26418;1.088;0.964;1.049646683;0.05264;1.14257;0.60564;1.27
synthetic;0;training;0.1667;0.01776;1.3857;0.51376;0.29784;0.039521135;0.47082;1.842;0.82325;0.1659
synthetic;0;training;0.1667;0.42273;0.98816;1.39103;0.267;0.444112971;0.2576;1.22605;0;0.22538
synthetic;0;validation;0.1667;0.7448;0.50616;1.44105;0.4256;0.014403846;0.77703;0.456;1.239;0.23828
synthetic;0;training;0.1667;0.61375;1.647;1.462;0.46948;0;0;1.94388;0;0.70884
synthetic;0;training;0.1667;0.01404;0.25384;0.918;0.27;0.01974359;0.0228;0.33561;0.24624;0.162
synthetic;0;training;0.1667;0.0137;0;1.13424;0;1.466164156;0.22379;1.615;0.0185;1.27
synthetic;1;validation;0.1667;1.41083;1.75027;1.448;0;0;0;1.46292;0;0.22052
synthetic;0;training;0.4167;0.829;1.0773;1.2384;0.2002;0.516109943;0.4858;0.55605;1.239;0.18392
synthetic;1;training;0.4167;0.038;1.34232;0.46512;0.25476;0.361277005;0.82416;0.76472;0.03315;0.26235
synthetic;1;training;0.4167;0.30096;1.9539;0;0;0.307404874;0.708;1.24372;0.01719;0.32274
synthetic;1;validation;0.4167;0.40831;1.22972;1.462;0.18975;0.212633337;0.86658;0.92226;0.0262;0.18135
synthetic;1;training;0.4167;0.09576;0.778;1.03689;0.1034;0.251322882;0.692;0.53746;0.28665;0.31428
synthetic;1;training;0.4167;0.3626;0.7911;0.6068;0.00552;0.040158441;0.21593;0.61671;0.34629;0.26296
synthetic;1;training;0.4167;0.36279;0.8601;0.4;0.33366;0.228094223;0.708;0.58904;0.2727;0.21608
synthetic;0;validation;0.4167;0.41416;0.90117;1.16196;0.964;1.20002426;0.85671;0.45;0.2604;1.27
synthetic;1;training;0.4167;0.01836;1.11361;0.90195;0;0;0;1.0517;0.5382;0.26496
synthetic;1;training;0.4167;0.22196;0.76284;0.60192;0;0.034346154;0.0195;0.6237;0.32505;0.2072
synthetic;0;training;0.4167;0.1924;0.2669;0.47376;0;0.249013574;0.26741;0.31787;0.45018;0.3672
synthetic;0;training;0.4167;0.03444;0.88245;0.98685;0;0.067379939;0.0792;0.44484;0.87106;0.24016
synthetic;1;training;0.4167;0.0075;0.825;1.089;0;0.382663164;0.16986;0.94875;0.5546;0.63455
synthetic;0;training;0.4167;0.829;0;0.38304;0;0.14537858;0.37113;0.4752;1.21941;0.2955
synthetic;0;training;0.4167;0.03363;0.628;0.8127;0.00404;0.120994717;0.13806;0.34037;0.65076;0.28728
synthetic;0;training;0.4167;0.2116;0.53457;0.4264;0.39936;0.051961538;0;0.65378;0.45448;0.19912
synthetic;0;training;0.4167;0.4407;0.82992;1.26658;0;0.211334343;0.53785;1.00625;0.2926;0.18755
synthetic;0;training;0.4167;0.162;0.6153;0.9537;0.11022;0.027502447;0.19448;0.41114;0.41055;0.23104
synthetic;1;training;0.4167;0.39648;0.87048;0.31616;0.19434;0.629111111;0;0.5874;0.2916;0.185
synthetic;1;validation;0.4167;0.47628;0.9265;0.52896;0;0;0;0.6336;0.31536;0.26196
synthetic;0;training;0.4167;0.10797;0.37052;0.54786;0.22005;0.261868088;1.22672;0.70873;0.63504;0
synthetic;1;training;0.4167;0.48384;1.47384;0.366;0;0.161538462;1.39986;0.50944;0.3332;0.21016
synthetic;1;training;0.4167;0.59706;0.95472;1.462;0;0.409349467;0.17919;0.75638;0.01199;1.4823
synthetic;0;validation;0.4167;0.0464;0.70488;1.45521;0;0.448543181;1.49408;0.31863;0.12768;0.20216
synthetic;0;training;0.4167;0.01092;0.0616;0.35032;0;0.082707137;0.99946;0.22048;0.18104;0.20294
synthetic;0;training;0.4167;0.04118;0.61992;1.462;0;0.326133368;0.79413;0.5832;0.46494;0.38363
synthetic;1;training;0.4167;0.0711;0.37944;0.792;0.26386;0.042363408;0.23738;0.3927;1.239;0.24716
synthetic;0;training;0.4167;0.0558;0.58674;0.43168;0;0.032438267;0.21736;0.4818;0.21098;0.29156
synthetic;0;training;0.4167;0.03288;0.58208;1.66499;0.03216;0.266084446;0.35037;0.85904;0.01717;0.30456
synthetic;0;training;0.4167;0.06086;0.23547;1.462;0;0.430603533;1.29404;0.75222;0.64232;0.2886
synthetic;1;training;0.4167;0.27089;1.87413;1.462;0;0.026788462;1.62954;0.23836;0.18156;0.28416
synthetic;0;training;0.4167;0.01044;0.36952;0.65586;0.0868;0.03625;0.02736;0.3034;0.01107;0.296
synthetic;0;training;0.4167;0.4819;0.1884;1.16375;0.17018;0.364070513;0;0.1886;0.2929;0.23236
synthetic;0;training;0.4167;0.03066;0.20724;0.99022;0.06776;0;0;0.328;0.52497;0.14948
synthetic;1;training;0.4167;0.29192;0.91863;0.44688;0;0.026125;0.01352;0.33;0.22491;0.29156
synthetic;0;training;0.4167;0.02128;0.373;0.74491;0.72828;0.102000668;0.3388;0.36162;0.46098;0.15984
synthetic;1;training;0.4167;0.34544;1.352;0;0.22752;0.895;1.10205;0.6766;0.6016;0.1628
synthetic;1;training;0.4167;0.5005;0.78997;0.342;0.03588;0;0;0.631;0.55648;0.23532
synthetic;0;training;0.4167;0.50868;0.34854;1.462;0.18012;0.2373182;0.0208;0.62008;0.66608;0.19952
synthetic;1;validation;0.4167;0.02502;0.8385;0.97465;0;0.333723244;0.61671;0.44384;0.21252;0.29452
synthetic;1;training;0.4167;0.03828;0.2109;0.75245;0;0.978702627;0.03712;0.76279;0.33082;1.20782
synthetic;0;training;0.4167;0.03982;0.38419;0.72;0;0.047144854;0.0966;0.6072;0.61803;0.21756
synthetic;0;training;0.4167;1.1472;1.08306;1.24485;0.0495;0.315773695;0.437;0.50213;1.239;0.1596
synthetic;1;validation;0.4167;0.6279;0.87377;1.462;0.45942;0.063807692;0.9292;1.60195;1.0794;0.2304
synthetic;1;training;0.4167;0.34272;0.88835;0.2961;0;0.144756432;1.24804;0.58851;0.10944;0.25375
synthetic;1;training;0.4167;0.0394;0.62271;1.204;0;0.059589744;0.052;0.42837;0.15714;0.15768
synthetic;0;training;0.4167;0.0384;0;2.53044;0;0.120444895;0.25438;1.953;0.0321;0.18281
synthetic;1;validation;0.4167;0.504;0.702;0.68249;0;0.017096154;1.13364;0.594;0.23647;0.18796
synthetic;0;training;0.1667;0.829;0.93555;0.6966;0.2562;0.430523872;0.51703;0.45158;1.239;0.266
synthetic;0;training;0.1667;0.04275;0.82297;0.59736;0.18348;0.205927893;1.5096;0.7268;0.02822;0.22275
synthetic;0;training;0.1667;0.50952;1.647;0;0;0.211838592;1.1682;1.24372;0.0135;0.21582
synthetic;1;training;0.1667;0.55874;1.17776;1.82578;0.3201;0.178375744;1.0302;1.20541;0.0324;0.20925
synthetic;0;training;0.1667;0.10545;0.52904;1.462;0.16638;0.298137929;0.865;0.46417;0.24402;0.19278
synthetic;0;training;0.1667;0.294;1.13098;0.54776;0.00664;0.033343675;0.17446;0.6403;0.5529;0.19152
synthetic;1;training;0.1667;0.4176;1.37475;0.284;0.33117;0.194302487;0.84252;0.4975;0.26664;0.2368
synthetic;0;validation;0.1667;0.31248;0.71269;0.94304;0.964;1.20002426;0.69768;0.32;0.41013;1.27
synthetic;1;training;0.1667;0.01536;1.05014;1.02221;0;0;0;0.8899;0.7449;0.19296
synthetic;0;training;0.1667;0.3222;0.819;0.59584;0;0.022288462;0.02366;0.3927;0.3135;0.17316
synthetic;0;training;0.1667;0.20905;0.20253;0.49632;0;0.306478245;0.27404;0.25812;0.732;0.3384
synthetic;0;validation;0.1667;0.02709;1.4946;1.02555;0;0.056720965;0.099;0.4381;0.49839;0.2812
synthetic;1;training;0.1667;0.0078;0.8448;1.2804;0;0.271713489;0.25032;0.83375;0.32745;0.52822
synthetic;0;training;0.1667;0.829;0;0.532;0;0.134722559;0.41919;0.38313;1.239;0.2295
synthetic;0;training;0.1667;0.03173;0.60288;1.09005;0.00572;0.085408036;0.08034;0.35048;1.0098;0.16112
synthetic;0;validation;0.1667;0.32384;0.99129;0.44608;0.38912;0.049269231;0;0.55268;0.43355;0.20672
synthetic;0;training;0.1667;0.4914;1.08576;1.15213;0;0.126800606;0.36782;0.59225;0.532;0.28985
synthetic;0;training;0.1667;0.3159;1.16614;1.462;0.12144;0.044052593;0.28314;0.52909;0.27285;0.1976
synthetic;0;training;0.1667;0.31808;0.71604;0.38304;0.25912;0.450311111;0;0.4686;0.2844;0.18944
synthetic;0;validation;0.1667;0.35478;0.67035;0.5928;0;0;0;0.4125;0.2409;0.21164
synthetic;0;training;0.1667;0.10675;0.52124;0.76224;0.2376;0.188309637;1.30152;0.59124;0.5832;0
synthetic;0;training;0.1667;0.3744;0.87768;0.384;0;0.142692308;1.38572;0.77212;0.25725;0.259
synthetic;0;training;0.1667;0.53607;1.11072;1.462;0.70224;0.433428847;0.10098;1.11534;0.01892;1.27
synthetic;0;validation;0.1667;0.0724;0.69064;1.462;0.17296;0.346158325;1.10432;0.42978;0.21888;0.28272
synthetic;0;training;0.1667;0.0077;0.10024;0.51944;0.04867;0.159793401;1.03191;0.38372;0.15996;0.20878
synthetic;0;training;0.1667;0.05104;0.67896;0.95612;0;0.3098267;1.2336;0.5184;0.57078;0.24062
synthetic;0;training;0.1667;0.06435;0.46872;0.876;0.2291;0.030017501;0.15587;0.396;1.239;0.2368
synthetic;0;validation;0.1667;0.0621;0.48768;0.56848;0;0.044057945;0.23309;0.5445;0.25872;0.185
synthetic;0;training;0.1667;0.03888;0.73984;1.462;0.04104;0.377168244;0.28167;0.88972;0.01904;0.30294
synthetic;0;training;0.1667;0.0544;0.20207;1.76494;0;0.309341619;0.71968;0.40198;0.8806;0.25456
synthetic;0;training;0.1667;0.29456;1.44486;1.462;0;0.023019231;1.11928;0.37288;0.21182;0.25012
synthetic;0;validation;0.1667;0.01341;0.29512;0.75874;0.10864;0.033833333;0.03553;0.22796;0.01449;0.148
synthetic;0;training;0.1667;0.4758;0.25277;1.462;0.20502;0.208602564;0;0.25256;0.3915;0.18204
synthetic;0;training;0.1667;0.03318;0.22765;0.82304;0.10528;0;0;0.29356;0.33463;0.23828
synthetic;0;training;0.1667;0.30438;0.63837;0.46512;0;0.021923077;0.01521;0.4488;0.189;0.24124
synthetic;0;validation;0.1667;0.02048;0.42895;0.87287;0.70924;0.116457455;0.56672;0.54684;0.28314;0.25056
synthetic;1;training;0.1667;0.4064;1.3182;0;0.1896;0.675;0.73944;0.5373;0.42488;0.23828
synthetic;0;training;0.1667;0.58135;0.46516;0.234;0.03657;0;0;1.16104;0.37592;0.2442
synthetic;0;training;0.1667;0.53223;0.59032;0.92769;0.27176;0.208590207;0.02352;0.34711;0.66608;0.13804
synthetic;1;training;0.1667;0.03366;0.4816;0.87365;0;0.314575189;0.66726;0.55024;0.22862;0.2368
synthetic;0;training;0.1667;0.02987;0.14763;0.9191;0;1.229068415;0.05481;0.84612;0.46982;1.53052
synthetic;0;training;0.1667;0.03234;0.42522;1.182;0;0.066002795;0.0708;0.3465;0.91287;0.17316
synthetic;0;training;0.1667;0.829;1.01195;0.98685;0.04625;0.434188831;0.253;0.54931;1.239;0.22192
synthetic;0;validation;0.1667;0.4278;0.74037;1.36371;0.46683;0.061788462;0.86355;1.02235;1.239;0.24912
synthetic;0;training;0.1667;0.22848;0.6758;0.4371;0;0.116458182;1.13389;0.72935;0.16224;0.31465
synthetic;0;training;0.1667;0.0262;0.43623;1.1696;0;0.047384615;0.0412;0.45126;0.13289;0.28616
synthetic;0;training;0.1667;0.0333;0;1.462;0;0.128426183;0.161;1.7766;0.0477;0.30046
synthetic;0;validation;0.1667;0.39564;0.9126;0.6874;0;0.01925;0.80199;0.4323;0.32708;0.23236
synthetic;0;training;0.4167;0.20592;0.48672;1.30237;0.91455;0.228250341;0.36782;0.8136;0.21948;0.1843
synthetic;1;training;0.4167;0.01911;1.38932;0.62472;0;0.500707192;0.69305;1.11156;0.01353;0.30155
synthetic;1;training;0.4167;0.46782;1.98396;1.14;0;0.232753414;1.17528;2.09746;0.2278;0.25265
synthetic;1;validation;0.4167;0.49427;1.72334;1.462;0.24327;0.246142981;0.95748;0.8899;0.0342;0.3438
synthetic;1;training;0.4167;0.65934;1.35024;0.54964;0;0.367216646;0.86828;0.46992;0.5616;0.20163
synthetic;1;training;0.4167;0.3087;1.0302;0.61992;0;0.284915028;1.344;0.2378;0.2112;0.21312
synthetic;1;training;0.4167;0.48546;0.7755;0.28;0;0.166142706;1.1328;0.72436;0.36417;0.26788
synthetic;1;validation;0.4167;0.5368;0.8611;1.08262;0;0.920488889;0;0.3925;0.558;1.27
synthetic;1;training;0.4167;0.0573;0.73805;1.21716;0;0;0;0;0.15553;1.46598
synthetic;1;training;0.4167;0.24386;0.9126;0.5776;0.49981;0.031788462;0.013;0.4191;0.18094;0.2072
synthetic;0;training;0.4167;0.26671;0.33912;0.3648;0;0.093948839;0.10998;0.48411;0.40248;0.27
synthetic;0;training;0.4167;0.231;1.03158;0.8932;0;0.06464633;0.09591;0.42688;1.01167;0.26671
synthetic;1;training;0.4167;0.02873;0.91495;0.87078;0;0.249070698;0.15496;0.95238;0.44414;0.29055
synthetic;0;training;0.4167;0.20757;0;0.58368;0.09306;0.090576184;0.38181;0.5346;0.57602;0.1815
synthetic;0;training;0.4167;0.03154;0.27004;0.69444;0;0.025038366;0.09652;0.22304;0.37412;0.28268
synthetic;0;training;0.4167;0.4902;0.97572;0.48872;0;0.042807692;0;0.39092;0.59368;0.17784
synthetic;0;training;0.4167;0.40767;1.10448;1.05294;0;0.164920335;0.41293;1.02925;0.255;0.16896
synthetic;0;training;0.4167;0.23345;1.06652;1.59528;0;0.342344284;0.40599;0.34037;0.44288;0.29792
synthetic;1;training;0.4167;0.48018;0.78624;0.40432;0.44685;0.658911111;0;0.5379;0.49662;0.25456
synthetic;1;validation;0.4167;0.33565;0.6867;0.58064;0;0;0;0.4554;0.30597;0.19092
synthetic;0;training;0.4167;0.46357;0.27475;0.35568;0.12342;0.131677981;0.27768;0.45144;0.735;0.264
synthetic;1;training;0.4167;0.11895;1.647;1.81362;0;0.367877247;0.9275;1.615;0.0398;0.20608
synthetic;1;training;0.4167;0.4815;0.75504;1.462;0.964;0.281104306;0.10494;0.95509;0.04301;1.27
synthetic;0;validation;0.4167;0.31369;0.50908;1.21693;0.16826;0.273012897;1.42504;0.36803;0.29478;0.22344
synthetic;0;training;0.4167;0.0595;0.07336;0.38656;0.05157;0.121250269;1.298;0.23744;0.14012;0.15184
synthetic;0;training;0.4167;0.02805;1.0275;0.5844;0.11223;0.510169191;0.4071;0.55917;0.44226;0.1776
synthetic;0;training;0.4167;0.00745;0.51984;0.54495;0.00742;0.057792521;0.304;0.72128;0.12464;0.2376
synthetic;0;validation;0.4167;0.02538;1.368;0.97944;0.00655;0.279226251;0.3082;0.40848;0.92568;0.2086
synthetic;0;training;0.4167;0.04148;0.22712;1.462;0;0.311816352;0.91344;0.73232;0.89614;0.16132
synthetic;1;training;0.4167;0.3516;1.8846;1.4421;0;0.019384615;1.47317;0.41536;0.26334;0.24864
synthetic;0;training;0.4167;0.0286;0.41168;0.76755;0.00668;0.050416667;0.0368;0.56279;0.534;0.29336
synthetic;0;validation;0.4167;0.22134;0.29673;1.27547;0.02509;0.326679487;0;0.29192;0.20286;0.296
synthetic;0;training;0.4167;0.0106;0.32342;0.7998;0.03075;0.129425565;0.46191;0.44147;0.41412;0.27208
synthetic;1;training;0.4167;0.2109;1.21549;0.62055;0.00707;0.12125;0.05088;0.4968;0.27495;0.29204
synthetic;1;training;0.4167;0.01903;1.02706;0.4536;0.10976;0.44314103;0;0.61088;0.86064;0.14688
synthetic;1;validation;0.4167;0.06608;1.10446;0;0.964;0;0;1.2742;0.56933;0
synthetic;1;training;0.4167;0.69207;0.64962;0.342;0.04401;0;0;0.66255;0.4819;0.21756
synthetic;0;training;0.4167;0.27125;0.55264;1.63863;0.34081;0.164935672;0.03136;0.38418;0.11227;0.18432
synthetic;1;training;0.4167;0.03096;1.1832;1.462;0;0.616894652;0.35088;1.615;0.1936;0
synthetic;0;validation;0.4167;0.00858;0.18759;0.89385;0.96652;1.20002426;0.04872;1.20508;0.49132;1.27
synthetic;1;training;0.4167;0.05208;0.71243;0.87;0;0.055065189;0.066;0.6072;1.11699;0.2368
synthetic;0;training;0.4167;0.30076;0.1887;1.19354;0.03364;0.500811605;0.45704;0.45594;0.90125;0.26344
synthetic;1;training;0.4167;0.53352;0.44622;1.07894;0.27018;0.015884615;0.8341;0.56848;1.239;0.21164
synthetic;1;validation;0.4167;0.6174;1.1248;0.31482;0;0.178496653;0.90951;0.61952;0.30816;0.22533
synthetic;1;training;0.4167;0.0273;0.19706;0.954;0;0.024769231;0.0214;0.34155;0.24025;0.1875
synthetic;1;training;0.4167;0.2898;0.57564;0.37392;0;0.027951923;0.01443;0.4356;0.34034;0.17612
synthetic;0;training;0.1667;0.15444;0.42016;1.0387;0.87234;0.263365778;0.35047;1.03734;0.29913;0.16781
synthetic;0;validation;0.1667;0.0234;0.76856;0.90744;0;0.565770839;0.747;1.615;0.02123;0.30644
synthetic;1;training;0.1667;0.66444;1.647;1.462;0;0.165343955;0.99828;1.06454;0.2346;0.16463
synthetic;0;training;0.1667;0.45436;1.15178;1.462;0.318;0.200660039;1.10292;0.88181;0.023;0.24639
synthetic;1;training;0.1667;0.56277;1.05792;0.40166;0;0.282474343;0.73981;0.33108;0.5436;0.17732
synthetic;0;validation;0.1667;0.37485;1.10898;0.43296;0;0.385769905;1.533;0.27552;0.24064;0.26788
synthetic;1;training;0.1667;0.46719;0.74025;0.236;0;0.202750421;0.71508;0.56516;0.30049;0.29156
synthetic;0;training;0.1667;0.3965;0.96465;1.44078;0;0.761555556;0;0.32;0.3379;1.82556
synthetic;1;training;0.1667;0.0417;0.80931;1.23984;0;0;0;0;0.29445;1.27
synthetic;0;validation;0.1667;0.33464;0.585;0.5624;0.40382;0.024115385;0.01742;0.4554;0.25896;0.24124
synthetic;0;training;0.1667;0.32578;0.56206;0.4712;0;0.140211525;0.07956;0.57321;0.48504;0.285
synthetic;0;training;0.1667;0.429;0.95864;1.1704;0;0.052148039;0.10419;0.736;0.55182;0.2682
synthetic;1;training;0.1667;0.02686;0.70041;0.98436;0;0.373606048;0.18327;1.08262;0.45671;0.2384
synthetic;0;validation;0.1667;0.1554;0;0.45296;0.09636;0.079920162;0.534;0.51084;0.39905;0.264
synthetic;0;training;0.1667;0.03724;0.23707;1.15097;0;0.025559998;0.11552;0.27224;0.2914;0.1998
synthetic;0;training;0.1667;0.43035;0.97053;0.54448;0;0.033115385;0;0.6403;0.6516;0.15808
synthetic;0;training;0.1667;0.5457;1.2168;0.77063;0;0.149424465;0.66971;1.15;0.27;0.1472
synthetic;0;validation;0.1667;0.27531;0.6153;1.10109;0;0.285286903;0.43722;0.58301;0.39936;0.152
synthetic;0;training;0.1667;0.55332;0.55224;0.4712;0.38065;0.572822222;0;0.363;0.5073;0.24864
synthetic;0;training;0.1667;0.3283;0.9265;0.39824;0;0;0;0.66;0.31031;0.24864
